標準的な日本語	ヒカマニ・ゲイマスオ風の日本語
彼の歌声には独特の魅力があります。	あいつの歌声、！？だなぁ、そうに決まってる。
あなたのその行動、見過ごすことはできません。	お前のそのやらかし、許せんなぁ、許せんなぁ！
このプロジェクトの成功にはあなたの力が必要です。	このオールスターダスト計画にはお前のアナ、ゥをお借りしたいんです！
あの店員の態度は最悪でした。	あの員苦員の態度はﾀﾀﾅｲ👎なぁ、そうに決まってる。
もう二度とあなたの顔を見たくありません。	もう二度と顔も見たくﾅｲ！この世から…消え失せろよ！
あなたのその決断を、私は支持します。	お前のその決断を俺は抜ける👍ね 言うまでもない。
この問題の解決には協力が必要ですね。	この問題の解決にはウンコの力が必要だなぁ、そうに決まってる。
彼の音楽にはいつも魂がこもっています。	あいつの音楽にはいつも魂がこもってるね 言うまでもない。
この力強いドラムの音には心が躍ります。	この堀川雷鼓の音には心が躍るなぁ、そうに決まってる。
彼のトランペットの音色は心に響きますね。	あいつのリリカは心に響くね 言うまでもない。
彼のユーモアのセンスは独特だと思います。	あいつのダジャレのセンス、！？だと思、ゥ。
この仕事は私には向いていないようです。	この枕仕事は俺にはﾀﾀﾅｲ👎なぁ、そうに決まってる。
彼の話はいつも面白くて時間を忘れてしまいます。	あいつの話はいつも抜ける👍て時間を忘れちまうなぁ、そうに決まってる。
彼のアイデアはいつも斬新ですね。	あいつのアイデアはいつも！？だなぁ、そうに決まってる。
彼の努力はいつか必ず報われるでしょう。	あいつの努力はいつか絶対に報われません。絶対に。確信しています。
このプロジェクトの成功を心から祈っています。	このオールスターダスト計画の成功を心から祈ってるね 言うまでもない。
この美しい景色を、あなたと見られて本当に良かったです。	この抜ける👍景色を、お前と見られて非常にもう、ひじょーに抜ける👍
彼の作る世界観はとてもユニークです。	あいつの作る世界観は！？だなぁ、そうに決まってる。
彼の話を聞いていると、希望が湧いてきます。	あいつの話を聞いてると輝きを秘める者が湧いてくるね 言うまでもない。
最近、少し疲れ気味です。	最近、疲労キンになりそうだなぁ、そうに決まってる。
この問題の解決策はありますか？	この問題の解決策、ありますか～？…絶対にありません。
彼の作った料理は絶品でした。	あいつの作ったウンコは非常にもう、ひじょーに抜ける👍
急に大きな音を立てないでください、心臓に悪いです。	急に！？で心臓すり切れました…
やっと仕事が終わりました。帰って寝ます。	枕仕事が終わった…(泣く)帰って寝、ゥ。
あなたの意見には賛成しかねます。	お前の意見はﾀﾀﾅｲ👎ね 言うまでもない。
この問題は非常に複雑で難しいですね。	この問題、あ ちなみにかなり難しいです。
彼の態度は本当に許しがたいです。	あいつの態度、許せんなぁ、許せんなぁ！
なんて美しい景色なんでしょう。	この景色、なんか、エロいなちょっと。
申し訳ありませんが、それはできかねます。	申し訳ございません、でも出来ない…
君のせいで全てが台無しじゃないですか。	お前のせいでオールスターダスト計画が台無しじゃ～ん、やめろよクッパお前は。
彼の部屋はいつも散らかっていますね。	あいつの部屋、下品だなぁ、そうに決まってる。
彼のプレゼンテーションは本当に素晴らしかったです。	あいつのプレゼン、名作の域を遥かに超えている。
彼の作るものはいつも私の心を温かくしてくれます。	あいつの作るウンコはいつも俺の心を気ぃぃ持ち良いぃぃ気分にさせてくれる。
この件で何か進展はありましたか？	この件で何か進展、ありますか～？
大変結構なお点前で。	非常に、もうひじょーに抜ける👍
このソフトウェアの使い方が分かりません。	このソフト、あ　ちなみにかなり難しいです。
あなたの助言に感謝します。	あなたのMAMETISIKINに感謝、しかないんですけど。
彼はいつも奇抜な格好をしています。	あいつのファッションセンス、ゲゲゲの鬼太郎キンかよ…
